epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.13174,1.03141,4.03889,1.31629,0.04037,0.92422,0.15174,0.11707,0.82638,3.78599,1.06485,0.000109832,0.000109832,0.000109832
2,14.6702,0.89695,3.27678,1.22867,0.28678,0.59269,0.43647,0.33827,0.93203,2.80736,1.1521,0.000216459,0.000216459,0.000216459
3,24.7557,0.90374,2.74342,1.23932,0.41662,0.70064,0.55664,0.46817,0.73048,2.61685,1.05896,0.000318691,0.000318691,0.000318691
4,35.4299,0.89669,2.41273,1.21992,0.44235,0.74105,0.6661,0.52235,0.8774,2.23908,1.18941,0.00031322,0.00031322,0.00031322
5,45.2615,0.87023,2.16587,1.20025,0.63721,0.73827,0.7673,0.61474,0.8321,1.78638,1.1273,0.000306626,0.000306626,0.000306626
6,54.1845,0.8448,1.97215,1.17325,0.71598,0.77032,0.83932,0.6299,0.98353,1.76476,1.2009,0.000300033,0.000300033,0.000300033
7,67.8193,0.84477,1.83417,1.17332,0.67844,0.79272,0.84245,0.6813,0.83391,1.58217,1.08641,0.00029344,0.00029344,0.00029344
8,79.5579,0.78864,1.63689,1.13708,0.71648,0.82005,0.8867,0.68877,0.95699,1.59997,1.18718,0.000286846,0.000286846,0.000286846
9,89.9161,0.77696,1.57966,1.12261,0.82498,0.79844,0.87763,0.74569,0.72274,1.35498,1.01283,0.000280253,0.000280253,0.000280253
10,99.9365,0.74071,1.49011,1.10318,0.78847,0.8083,0.89877,0.74181,0.81229,1.33952,1.09094,0.000273659,0.000273659,0.000273659
11,110.496,0.76783,1.42374,1.11604,0.83282,0.80907,0.89675,0.71092,0.88458,1.22991,1.11588,0.000267066,0.000267066,0.000267066
12,119.552,0.75537,1.37949,1.10834,0.81122,0.89736,0.92359,0.7038,1.02083,1.18998,1.20963,0.000260473,0.000260473,0.000260473
13,129.185,0.72875,1.31497,1.09793,0.82867,0.83441,0.91933,0.70434,1.00151,1.18287,1.20065,0.000253879,0.000253879,0.000253879
14,138.376,0.73943,1.27686,1.10273,0.81937,0.802,0.89457,0.72189,0.85384,1.28566,1.08567,0.000247286,0.000247286,0.000247286
15,147.382,0.73958,1.27055,1.106,0.84603,0.86366,0.91524,0.75642,0.78656,1.11616,1.03864,0.000240692,0.000240692,0.000240692
16,156.324,0.72859,1.20208,1.09582,0.86674,0.88499,0.9349,0.7514,0.84791,1.03967,1.0786,0.000234099,0.000234099,0.000234099
17,165.624,0.69937,1.1848,1.08035,0.88253,0.87212,0.92845,0.73069,0.88353,0.99666,1.0816,0.000227506,0.000227506,0.000227506
18,174.66,0.71217,1.15481,1.08557,0.90352,0.78313,0.91661,0.72778,0.87586,1.11881,1.08489,0.000220912,0.000220912,0.000220912
19,184.637,0.69379,1.09681,1.07537,0.90029,0.84381,0.93684,0.75518,0.83841,0.97014,1.07094,0.000214319,0.000214319,0.000214319
20,193.068,0.69779,1.09935,1.07229,0.84962,0.89057,0.92945,0.744,0.88169,1.02366,1.09541,0.000207725,0.000207725,0.000207725
21,204.472,0.68389,1.07011,1.0731,0.85512,0.89409,0.94283,0.75588,0.87865,0.96454,1.10652,0.000201132,0.000201132,0.000201132
22,212.901,0.67433,1.03692,1.06837,0.91334,0.88396,0.94745,0.77745,0.82369,0.9348,1.05972,0.000194539,0.000194539,0.000194539
23,221.664,0.66588,0.98928,1.05328,0.88622,0.86724,0.94025,0.75251,0.88219,0.95481,1.09404,0.000187945,0.000187945,0.000187945
24,230.281,0.65849,0.97617,1.04739,0.88583,0.85197,0.93051,0.7557,0.82324,0.94753,1.04491,0.000181352,0.000181352,0.000181352
25,239.108,0.64711,0.97451,1.03933,0.88073,0.86206,0.92887,0.76027,0.80571,0.96287,1.0461,0.000174758,0.000174758,0.000174758
26,247.637,0.65842,0.96461,1.05282,0.88566,0.8685,0.91675,0.75413,0.77662,0.93287,1.0271,0.000168165,0.000168165,0.000168165
27,256.096,0.64915,0.92839,1.03874,0.87517,0.84557,0.91081,0.75567,0.75393,0.98317,1.01409,0.000161572,0.000161572,0.000161572
28,264.671,0.6325,0.90707,1.03579,0.8752,0.88889,0.93248,0.76774,0.78843,0.90226,1.01012,0.000154978,0.000154978,0.000154978
29,273.164,0.63604,0.89107,1.0437,0.90054,0.87812,0.94013,0.75513,0.88376,0.88407,1.09292,0.000148385,0.000148385,0.000148385
30,282.382,0.62557,0.86497,1.02815,0.88344,0.89911,0.92835,0.76513,0.77839,0.84423,1.03788,0.000141791,0.000141791,0.000141791
31,291.128,0.63763,0.86324,1.03894,0.88453,0.86894,0.93221,0.75999,0.83802,0.89167,1.04993,0.000135198,0.000135198,0.000135198
32,299.616,0.62733,0.84566,1.02819,0.90418,0.86776,0.94496,0.76961,0.81452,0.81891,1.0603,0.000128605,0.000128605,0.000128605
